Program Name/Major,Academic Division/School,Degree Level,Graduation Date,Job Title,Employing Organization,Position Location - State
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2020,Sales Representative,3M,CA
Marketing Management,Opus College of Business,Bachelor's,5/15/2020,Team Lead,Best Buy,SD
Actuarial Science,College of Arts and Sciences,Bachelor's,5/15/2020,HR Coordinator,CenterPoint Energy,FL
Financial Management,Opus College of Business,Bachelor's,5/15/2023,Social Media Manager,PwC,SD
Neuroscience,College of Arts and Sciences,Bachelor's,5/15/2021,Estimator,Mayo Clinic,CO
Financial Management,Opus College of Business,Bachelor's,5/15/2019,Program Manager,EY,OH
Actuarial Science,College of Arts and Sciences,Bachelor's,5/15/2025,Brand Manager,Accenture,TX
Electrical Engineering,School of Engineering,Bachelor's,5/15/2019,Benefits Analyst,Cargill,IA
Journalism,College of Arts and Sciences,Bachelor's,5/15/2025,Research Assistant,Cargill,OH
Acad Behavioral Strategist,School of Education,Bachelor's,5/15/2021,Education Coordinator,University of St. Thomas,NE
Financial Management,Opus College of Business,Bachelor's,5/15/2020,Auditor,University of St. Thomas,MA
Human Resources Management,Opus College of Business,Bachelor's,5/15/2023,Tax Associate,Ryan Companies,MN
Data Science,School of Engineering,Bachelor's,5/15/2025,Operations Analyst,Toro Company,CO
Computer Engineering,School of Engineering,Bachelor's,5/15/2025,Data Scientist,General Mills,GA
Social Work,School of Education,Bachelor's,5/15/2020,Education Coordinator,AmeriCorps,GA
Gen Business Mgmt,Opus College of Business,Bachelor's,5/15/2019,Logistics Manager,Ameriprise Financial,CO
Exercise Science,College of Arts and Sciences,Bachelor's,5/15/2023,Physical Therapist,Google,MN
Data Science,School of Engineering,Bachelor's,5/15/2022,Quantitative Analyst,3M,CA
Financial Management,Opus College of Business,Bachelor's,5/15/2024,Policy Analyst,Microsoft,NY
Social Work,School of Education,Bachelor's,5/15/2020,Grant Writer,State of Minnesota,IA
Financial Management,Opus College of Business,Bachelor's,5/15/2022,Content Strategist,Donaldson Company,IA
Marketing Management,Opus College of Business,Bachelor's,5/15/2021,Office Coordinator,Land O'Lakes,NE
Acad Behavioral Strategist,School of Education,Bachelor's,5/15/2022,Coordinator,Accenture,MN
Digital Media Arts,College of Arts and Sciences,Bachelor's,5/15/2022,Public Administrator,Cargill,IL
Financial Management,Opus College of Business,Bachelor's,5/15/2020,Accountant,Medtronic,ND
Exercise Science,College of Arts and Sciences,Bachelor's,5/15/2021,Business Intelligence Analyst,Allina Health,OH
Financial Management,Opus College of Business,Bachelor's,5/15/2019,Business Development Associate,Securian Financial,FL
Marketing Management,Opus College of Business,Bachelor's,5/15/2025,Account Manager,CBRE Group,CO
Music - Business,College of Arts and Sciences,Bachelor's,5/15/2019,Scientist,St. Paul Public Schools,MN
Civil Engineering,School of Engineering,Bachelor's,5/15/2023,Teaching Assistant,Toro Company,IL
Software Engineering,School of Engineering,Bachelor's,5/15/2021,Leasing Agent,AWS,OH
Entrepreneurship,Opus College of Business,Bachelor's,5/15/2019,Accountant,Donaldson Company,FL
Marketing Management,Opus College of Business,Bachelor's,5/15/2021,Account Manager,Allina Health,MA
Marketing Management,Opus College of Business,Bachelor's,5/15/2021,Business Analyst,PwC,FL
Biology,College of Arts and Sciences,Bachelor's,5/15/2022,Data Analyst,Children's Minnesota,GA
Entrepreneurship,Opus College of Business,Bachelor's,5/15/2023,Inside Sales Rep,Accenture,MA
Entrepreneurship,Opus College of Business,Bachelor's,5/15/2021,PR Specialist,Grant Thornton,MA
Theology,College of Arts and Sciences,Bachelor's,5/15/2023,Underwriter,General Mills,OH
Electrical Engineering,School of Engineering,Bachelor's,5/15/2022,Lab Technician,Target (Tech),MN
Human Resources Management,Opus College of Business,Bachelor's,5/15/2024,DevOps Engineer,Allianz,CO
Computer Science,School of Engineering,Bachelor's,5/15/2022,DevOps Engineer,AmeriCorps,MN
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2022,IT Analyst,Ryan Companies,MN
Nursing,College of Arts and Sciences,Bachelor's,5/15/2022,Supply Chain Coordinator,RBC Wealth Management,WI
Civil Engineering,School of Engineering,Bachelor's,5/15/2022,Electrical Engineer,Intel,MN
Computer Science,School of Engineering,Bachelor's,5/15/2020,Sales Representative,3M,CO
Financial Management,Opus College of Business,Bachelor's,5/15/2020,Assistant Manager,Best Buy,NY
Social Work,School of Education,Bachelor's,5/15/2020,Teacher,Peace Corps,NY
International Business,Opus College of Business,Bachelor's,5/15/2025,Scientist,General Mills,NY
Electrical Engineering,School of Engineering,Bachelor's,5/15/2025,Data Scientist,Kraus-Anderson,MN
Computer Science,School of Engineering,Bachelor's,5/15/2021,IT Analyst,Target (Tech),IL
Computer Engineering,School of Engineering,Bachelor's,5/15/2023,HR Coordinator,Intel,FL
Economics,College of Arts and Sciences,Bachelor's,5/15/2024,Sales Representative,Microsoft,MA
Biochemistry,College of Arts and Sciences,Bachelor's,5/15/2022,Research Assistant,Wayzata Public Schools,TX
Social Work,School of Education,Bachelor's,5/15/2025,Case Manager,Osseo Area Schools,NE
Data Science,School of Engineering,Bachelor's,5/15/2022,Underwriter,Accenture,MN
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2020,Financial Analyst,Xcel Energy,NY
Psychology,College of Arts and Sciences,Bachelor's,5/15/2024,Talent Acquisition Specialist,Mortenson,MN
Digital Media Arts,College of Arts and Sciences,Bachelor's,5/15/2025,Operations Analyst,Boston Consulting Group,TX
Marketing Management,Opus College of Business,Bachelor's,5/15/2022,Account Executive,Ameriprise Financial,NY
Financial Management,Opus College of Business,Bachelor's,5/15/2020,Business Development Associate,Boston Consulting Group,CO
Entrepreneurship,Opus College of Business,Bachelor's,5/15/2023,Data Analyst,Mortenson,NY
Financial Management,Opus College of Business,Bachelor's,5/15/2020,Lab Technician,3M,NE
Human Resources Management,Opus College of Business,Bachelor's,5/15/2020,PR Specialist,General Mills,NY
Gen Business Mgmt,Opus College of Business,Bachelor's,5/15/2021,Assistant Manager,Target,SD
Financial Management,Opus College of Business,Bachelor's,5/15/2020,Content Strategist,Honeywell,MN
Economics,College of Arts and Sciences,Bachelor's,5/15/2021,Assistant,Kraus-Anderson,IA
Philosophy,College of Arts and Sciences,Bachelor's,5/15/2025,Benefits Analyst,McGough Construction,MN
Marketing Management,Opus College of Business,Bachelor's,5/15/2024,Account Executive,Polaris,ND
Catholic Studies,College of Arts and Sciences,Bachelor's,5/15/2019,HR Generalist,Osseo Area Schools,IA
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2019,Paralegal,Boston Consulting Group,IA
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2025,Procurement Specialist,McGough Construction,WI
Marketing Management,Opus College of Business,Bachelor's,5/15/2024,Account Executive,Mortenson,IL
Criminal Justice,College of Arts and Sciences,Bachelor's,5/15/2019,Legal Assistant,City of Minneapolis,MN
Neuroscience,College of Arts and Sciences,Bachelor's,5/15/2025,Scientist,Optum,IL
Human Resources Management,Opus College of Business,Bachelor's,5/15/2023,Design Engineer,Boston Consulting Group,NE
Marketing Management,Opus College of Business,Bachelor's,5/15/2024,Underwriter,PwC,MA
Marketing Management,Opus College of Business,Bachelor's,5/15/2024,Research Scientist,Wells Fargo,GA
Gen Business Mgmt,Opus College of Business,Bachelor's,5/15/2023,Sales Representative,RBC Wealth Management,OH
Data Science,School of Engineering,Bachelor's,5/15/2021,Operations Analyst,Optum,NY
Financial Management,Opus College of Business,Bachelor's,5/15/2021,Web Developer,Securian Financial,CO
Nursing,College of Arts and Sciences,Bachelor's,5/15/2021,Analyst,Hennepin County,WA
Electrical Engineering,School of Engineering,Bachelor's,5/15/2024,Mechanical Engineer,Toro Company,SD
Electrical Engineering,School of Engineering,Bachelor's,5/15/2024,DevOps Engineer,Honeywell,GA
Financial Management,Opus College of Business,Bachelor's,5/15/2023,Program Manager,Ryan Companies,CA
Spanish Cultural/Literary St.,College of Arts and Sciences,Bachelor's,5/15/2024,Multimedia Specialist,St. Paul Public Schools,IL
Financial Management,Opus College of Business,Bachelor's,5/15/2023,Project Manager,St. Paul Public Schools,WI
Political Science,College of Arts and Sciences,Bachelor's,5/15/2024,Multimedia Specialist,KPMG,WI
Psychology,College of Arts and Sciences,Bachelor's,5/15/2021,Social Worker,AmeriCorps,CO
Marketing Management,Opus College of Business,Bachelor's,5/15/2025,Teacher,Wells Fargo,NE
Financial Management,Opus College of Business,Bachelor's,5/15/2019,Systems Administrator,KPMG,MN
Human Resources Management,Opus College of Business,Bachelor's,5/15/2019,Management Consultant,Google,MA
Biology,College of Arts and Sciences,Bachelor's,5/15/2021,IT Analyst,Optum,NE
Exercise Science,College of Arts and Sciences,Bachelor's,5/15/2022,Physical Therapist,Xcel Energy,MN
Gen Business Mgmt,Opus College of Business,Bachelor's,5/15/2019,Content Strategist,Mortenson,NY
Biology,College of Arts and Sciences,Bachelor's,5/15/2023,HR Coordinator,Fairview,ND
Acad Behavioral Strategist,School of Education,Bachelor's,5/15/2021,Executive Assistant,Wayzata Public Schools,IL
Psychology,College of Arts and Sciences,Bachelor's,5/15/2024,Quantitative Analyst,University of St. Thomas,WA
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2020,Systems Administrator,Mayo Clinic,MN
Marketing Management,Opus College of Business,Bachelor's,5/15/2022,Program Manager,Land O'Lakes,CA
Electrical Engineering,School of Engineering,Bachelor's,5/15/2024,Legislative Aide,NextEra Energy,SD
Financial Management,Opus College of Business,Bachelor's,5/15/2021,Real Estate Analyst,NextEra Energy,OH
Biology,College of Arts and Sciences,Bachelor's,5/15/2023,Strategy Analyst,EY,NE
Marketing Management,Opus College of Business,Bachelor's,5/15/2023,Operations Director,Mortenson,ND
Financial Management,Opus College of Business,Bachelor's,5/15/2022,Supply Chain Coordinator,Best Buy,MN
Marketing Management,Opus College of Business,Bachelor's,5/15/2025,Financial Analyst,RBC Wealth Management,TX
Financial Management,Opus College of Business,Bachelor's,5/15/2024,Team Lead,Mortenson,MN
Entrepreneurship,Opus College of Business,Bachelor's,5/15/2022,IT Analyst,CBRE Group,SD
Financial Management,Opus College of Business,Bachelor's,5/15/2025,Operations Manager,Target,MN
Gen Business Mgmt,Opus College of Business,Bachelor's,5/15/2021,Sales Representative,General Mills,MN
Marketing Management,Opus College of Business,Bachelor's,5/15/2019,Program Manager,Target,GA
Real Estate Studies,Opus College of Business,Bachelor's,5/15/2023,Content Strategist,Deloitte,NY
Computer Science,School of Engineering,Bachelor's,5/15/2022,Tax Associate,3M,TX
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2022,IT Analyst,Medtronic,FL
Neuroscience,College of Arts and Sciences,Bachelor's,5/15/2021,Brand Manager,Accenture,MN
Social Work,School of Education,Bachelor's,5/15/2021,Program Coordinator,City of Minneapolis,GA
Exercise Science,College of Arts and Sciences,Bachelor's,5/15/2022,Receptionist,Allina Health,MA
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2024,Team Lead,Deloitte,MN
Electrical Engineering,School of Engineering,Bachelor's,5/15/2021,IT Analyst,IBM,MN
Accounting,Opus College of Business,Bachelor's,5/15/2024,Scientist,Deloitte,MN
Human Resources Management,Opus College of Business,Bachelor's,5/15/2020,Operations Director,KPMG,WI
Marketing Management,Opus College of Business,Bachelor's,5/15/2020,Program Manager,Ameriprise Financial,NE
Marketing Management,Opus College of Business,Bachelor's,5/15/2023,Brand Manager,Kraus-Anderson,SD
Computer Engineering,School of Engineering,Bachelor's,5/15/2020,Business Intelligence Analyst,KPMG,NY
Gen Business Mgmt,Opus College of Business,Bachelor's,5/15/2023,Business Development Associate,Cargill,MN
Marketing Management,Opus College of Business,Bachelor's,5/15/2023,Auditor,CBRE Group,OH
Financial Management,Opus College of Business,Bachelor's,5/15/2024,Tax Associate,CBRE Group,IA
Biology,College of Arts and Sciences,Bachelor's,5/15/2020,Recruiter,Allina Health,OH
Environmental Science,College of Arts and Sciences,Bachelor's,5/15/2024,Real Estate Analyst,Land O'Lakes,MN
Marketing Management,Opus College of Business,Bachelor's,5/15/2019,Scientist,Wells Fargo,WA
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2023,IT Analyst,Toro Company,MN
COJO Journalism,College of Arts and Sciences,Bachelor's,5/15/2023,Consultant,KPMG,MN
Educational Studies,School of Education,Bachelor's,5/15/2023,Policy Analyst,UnitedHealth Group,MN
Communication Studies,College of Arts and Sciences,Bachelor's,5/15/2023,HR Generalist,Target,MN
Gen Business Mgmt,Opus College of Business,Bachelor's,5/15/2020,Case Manager,Best Buy,MN
Financial Management,Opus College of Business,Bachelor's,5/15/2019,Real Estate Analyst,Deloitte,FL
History,College of Arts and Sciences,Bachelor's,5/15/2024,Coordinator,Deloitte,IL
Financial Management,Opus College of Business,Bachelor's,5/15/2021,Electrical Engineer,Sleep Number,MA
Computer Science,School of Engineering,Bachelor's,5/15/2024,Leasing Agent,IBM,FL
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2022,Design Engineer,PwC,MN
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2023,Estimator,Cargill,MN
Accounting,Opus College of Business,Bachelor's,5/15/2024,Assistant Manager,EY,SD
Nursing,College of Arts and Sciences,Bachelor's,5/15/2023,Field Engineer,Optum,CO
Financial Management,Opus College of Business,Bachelor's,5/15/2023,Tutor,Securian Financial,IL
Marketing Management,Opus College of Business,Bachelor's,5/15/2019,Graphic Designer,Sleep Number,NE
Computer Science,School of Engineering,Bachelor's,5/15/2020,City Planner,Toro Company,IL
Human Resources Management,Opus College of Business,Bachelor's,5/15/2021,Benefits Analyst,US Bank,MN
Psychology,College of Arts and Sciences,Bachelor's,5/15/2020,Analytics Consultant,CBRE Group,IA
Marketing Management,Opus College of Business,Bachelor's,5/15/2023,Account Manager,Intel,ND
Acad Behavioral Strategist,School of Education,Bachelor's,5/15/2025,Data Analyst,Osseo Area Schools,CA
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2022,Specialist,Medtronic,SD
Communication Studies,College of Arts and Sciences,Bachelor's,5/15/2020,Systems Administrator,Google,NY
Social Work,School of Education,Bachelor's,5/15/2020,Grant Writer,Fairview,FL
Financial Management,Opus College of Business,Bachelor's,5/15/2020,Office Coordinator,Cargill,ND
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2020,Legal Assistant,Optum,GA
Marketing Management,Opus College of Business,Bachelor's,5/15/2025,Assistant Manager,McKinsey,MN
Actuarial Science,College of Arts and Sciences,Bachelor's,5/15/2020,City Planner,General Mills,OH
Political Science,College of Arts and Sciences,Bachelor's,5/15/2021,Medical Assistant,City of Minneapolis,CO
Computer Science,School of Engineering,Bachelor's,5/15/2022,Mechanical Engineer,McGough Construction,IA
Digital Media Arts,College of Arts and Sciences,Bachelor's,5/15/2020,Associate,EY,TX
Exercise Science,College of Arts and Sciences,Bachelor's,5/15/2023,Analyst,Boston Consulting Group,IL
Elementary Education (K-6),School of Education,Bachelor's,5/15/2021,Construction Manager,Minneapolis Public Schools,TX
Human Resources Management,Opus College of Business,Bachelor's,5/15/2024,Clinical Research Associate,Boston Consulting Group,IA
Financial Management,Opus College of Business,Bachelor's,5/15/2025,Public Administrator,Accenture,NY
Marketing Management,Opus College of Business,Bachelor's,5/15/2021,Inside Sales Rep,Best Buy,NY
Accounting,Opus College of Business,Bachelor's,5/15/2025,Policy Analyst,Hennepin County,WA
Human Resources Management,Opus College of Business,Bachelor's,5/15/2020,Logistics Manager,Deloitte,IA
Marketing Management,Opus College of Business,Bachelor's,5/15/2024,Accountant,Deloitte,WA
Marketing Management,Opus College of Business,Bachelor's,5/15/2021,Education Coordinator,General Mills,MN
